-0.242;1.406;0.134;33.1968
-1.007;-1.608;1.017;22.4853
0.806;0.29;-0.142;23.5175
0.84;-0.154;1.244;20.869
1.814;1.225;-1.731;33.5005
-0.531;-0.758;-0.453;49.9373
-1.381;1.998;-1.839;31.3093
0.9;-0.7;-0.888;19.4641
1.346;1.905;0.318;37.0875
1.272;-0.551;-1.571;54.2798
-0.087;-1.841;-1.875;15.8874
-0.844;-0.529;-0.643;41.8992
0.418;0.279;1.564;52.4149
-1.457;0.095;-1.374;42.4127
-0.72;-1.386;-0.221;40.0925
-0.596;0.914;0.683;35.4036
1.108;-1.328;-0.569;39.3123
-1.648;-1.352;-1.75;49.5644
0.452;0.376;-0.793;44.9695
0.547;0.928;-0.887;24.9366
-0.159;-0.655;0.909;23.0808
1.249;0.508;-1.383;51.0727
-0.535;1.751;1.568;54.6082
-0.874;0.079;-1.852;12.4013
-0.361;1.342;1.844;41.6493
0.065;0.767;1.635;29.6352
-0.113;0.242;-0.958;13.2492
-1.545;-0.456;-0.092;43.4514
0.072;0.692;1.237;25.7684
1.075;1.451;-1.093;26.7346
1.168;0.015;-1.589;27.4833
0.252;-1.331;-0.608;44.9875
-0.765;-0.075;0.059;11.4225
1.927;-1.828;0.606;31.6116
-0.6;-0.153;1.984;26.736
-0.54;0.314;1.156;39.7573
1.682;-0.908;0.316;33.551
-1.205;0.668;-0.869;27.9912
-1.707;1.458;-0.055;37.9567
0.492;1.215;1.185;36.957
-1.356;1.633;1.751;50.394
-1.806;0.865;1.765;26.1245
0.912;-1.452;1.386;43.4423
-1.358;-0.627;0.79;43.6331
0.317;0.503;1.903;39.8601
0.546;-1.692;0.572;55.6315
0.107;1.064;1.028;5.32846
1.224;-1.952;-0.387;31.8668
-1.013;-1.949;-0.185;11.4299
1.411;0.771;0.952;31.1042
-0.724;0.075;0.108;15.4732
-0.739;0.796;1.944;23.4119
-0.727;1.398;-1.313;47.5185
-1.626;0.954;1.142;26.0225
0.168;-0.053;-1.238;16.4325
0.104;0.683;-1.156;22.3915
-0.694;1.39;1.583;54.7419
1.972;-1.859;-1.785;22.1781
-0.508;1.968;1.749;37.4417
0.15;1.494;1.182;33.6229
1.726;0.577;1.026;34.8524
-1.192;-0.39;-1.321;41.7736
-0.632;1.643;-0.531;56.1729
1.237;1.762;1.917;28.0698
-1.319;-1.077;-1.388;37.7992
1.39;-1.203;0.666;43.6539
-1.371;1.502;1.817;50.241
-1.023;-1.331;0.144;21.637
1.958;0.985;0.847;10.1876
-1.011;1.923;-0.515;26.1125
-1.719;-0.5;0.515;55.3613
0.142;1.097;-1.392;26.4694
-0.635;-1.642;0.866;40.0793
-1.326;-0.044;1.803;26.7177
1.696;-0.543;-1.775;47.723
-1.865;1.976;-1.88;17.1279
-0.691;0.181;-0.348;35.829
1.743;-1.797;-1.25;35.3591
-1.458;-0.38;0.709;52.2641
0.422;1.034;-1.733;34.3669
0.158;0.768;0.072;15.0334
1.171;1.208;0.393;33.4381
1.45;-1.604;-0.425;61.2165
0.963;-1.133;-1.962;9.90634
-1.466;1.12;-0.927;27.7795
-0.869;-1.24;-0.253;25.1178
-1.987;1.216;0.786;21.7152
-1.087;1.457;0.183;30.3459
-0.265;1.549;1.945;37.3147
-0.711;1.763;-0.779;34.0186
1.532;1.09;-0.147;28.8827
-0.473;0.636;-0.451;56.7837
-0.058;-1.192;1.997;12.5066
1.251;0.887;-0.794;22.7319
0.355;-1.794;1.067;28.7556
-0.516;1.039;1.842;29.523
-0.856;0.15;0.811;15.6169
-1.698;0.548;1.862;42.9381
0.467;-1.633;0.437;58.7951
-0.97;0.567;1.814;29.9433
